seed,weight_decay,N,selected_proxy_reward_mean,selected_true_utility_mean,selected_spurious_utility_mean,oracle_best_true_utility_mean,random_candidate_true_utility_mean,proxy_minus_true_gap
90000,0.0,1,2.7798194885253906,-0.009882846847176552,1.9918525218963623,-0.009882846847176552,-0.009882843121886253,2.7897024154663086
90000,0.0,4,4.530588150024414,0.02778063714504242,4.0967326164245605,1.0256478786468506,-0.009882843121886253,4.5028076171875
90000,0.0,16,4.869838714599609,-0.0026415777392685413,6.778754711151123,1.747376799583435,-0.009882843121886253,4.872480392456055
90000,0.0,64,4.8767900466918945,-0.006276237778365612,9.353114128112793,2.342041015625,-0.009882843121886253,4.883066177368164
90000,0.0,256,4.876830101013184,0.00402941694483161,11.461041450500488,2.830634117126465,-0.009882843121886253,4.872800827026367
90000,1e-05,1,2.7798194885253906,-0.009882846847176552,1.9918525218963623,-0.009882846847176552,-0.009882843121886253,2.7897024154663086
90000,1e-05,4,4.530588150024414,0.02778063714504242,4.0967326164245605,1.0256478786468506,-0.009882843121886253,4.5028076171875
90000,1e-05,16,4.869838714599609,-0.0026415777392685413,6.778754711151123,1.747376799583435,-0.009882843121886253,4.872480392456055
90000,1e-05,64,4.8767900466918945,-0.006276237778365612,9.353114128112793,2.342041015625,-0.009882843121886253,4.883066177368164
90000,1e-05,256,4.876830101013184,0.00402941694483161,11.461041450500488,2.830634117126465,-0.009882843121886253,4.872800827026367
90000,0.0001,1,2.776329517364502,-0.009882846847176552,1.9918525218963623,-0.009882846847176552,-0.009882843121886253,2.78621244430542
90000,0.0001,4,4.527463436126709,0.02872519940137863,4.095587730407715,1.0256478786468506,-0.009882843121886253,4.4987382888793945
90000,0.0001,16,4.867636680603027,-0.001911441795527935,6.77540922164917,1.747376799583435,-0.009882843121886253,4.869548320770264
90000,0.0001,64,4.874614238739014,-0.010991130024194717,9.320347785949707,2.342041015625,-0.009882843121886253,4.885605335235596
90000,0.0001,256,4.874655723571777,-0.023353008553385735,11.296013832092285,2.830634117126465,-0.009882843121886253,4.898008823394775
90000,0.001,1,2.777181386947632,-0.009882846847176552,1.9918525218963623,-0.009882846847176552,-0.009882843121886253,2.78706431388855
90000,0.001,4,4.5285491943359375,0.026562897488474846,4.09593391418457,1.0256478786468506,-0.009882843121886253,4.501986503601074
90000,0.001,16,4.865936756134033,-0.004434076603502035,6.7761993408203125,1.747376799583435,-0.009882843121886253,4.870370864868164
90000,0.001,64,4.872767448425293,-0.009288907982409,9.219839096069336,2.342041015625,-0.009882843121886253,4.88205623626709
90000,0.001,256,4.872805118560791,-0.004200218245387077,10.77342700958252,2.830634117126465,-0.009882843121886253,4.877005100250244
90000,0.01,1,2.761256694793701,-0.009882846847176552,1.9918525218963623,-0.009882846847176552,-0.009882843121886253,2.771139621734619
90000,0.01,4,4.495511531829834,0.031185735017061234,4.094051361083984,1.0256478786468506,-0.009882843121886253,4.464325904846191
90000,0.01,16,4.828295707702637,-0.003385391319170594,6.776080131530762,1.747376799583435,-0.009882843121886253,4.831681251525879
90000,0.01,64,4.834968566894531,-0.014084342867136002,9.320712089538574,2.342041015625,-0.009882843121886253,4.849052906036377
90000,0.01,256,4.835007190704346,-0.027742832899093628,11.298863410949707,2.830634117126465,-0.009882843121886253,4.862750053405762
90000,0.1,1,2.609466791152954,-0.009882846847176552,1.9918525218963623,-0.009882846847176552,-0.009882843121886253,2.619349718093872
90000,0.1,4,4.209285259246826,0.030287468805909157,4.098194599151611,1.0256478786468506,-0.009882843121886253,4.178997993469238
90000,0.1,16,4.501807689666748,-0.002749339211732149,6.773480415344238,1.747376799583435,-0.009882843121886253,4.504557132720947
90000,0.1,64,4.507653713226318,-0.015745969489216805,9.227906227111816,2.342041015625,-0.009882843121886253,4.523399829864502
90000,0.1,256,4.507690906524658,-0.0002127509069396183,10.778465270996094,2.830634117126465,-0.009882843121886253,4.507903575897217
90000,1.0,1,1.74506676197052,-0.009882846847176552,1.9918525218963623,-0.009882846847176552,-0.009882843121886253,1.7549495697021484
90000,1.0,4,2.582050323486328,0.03117261454463005,4.103126049041748,1.0256478786468506,-0.009882843121886253,2.550877809524536
90000,1.0,16,2.678468704223633,-0.014757742173969746,6.7869343757629395,1.747376799583435,-0.009882843121886253,2.6932263374328613
90000,1.0,64,2.6798505783081055,-0.03266746550798416,9.259195327758789,2.342041015625,-0.009882843121886253,2.7125179767608643
