weight_decay,N,seed_mean,seed_std,selected_proxy_reward_mean_mean,selected_proxy_reward_mean_std,selected_true_utility_mean_mean,selected_true_utility_mean_std,selected_spurious_utility_mean_mean,selected_spurious_utility_mean_std,oracle_best_true_utility_mean_mean,oracle_best_true_utility_mean_std,random_candidate_true_utility_mean_mean,random_candidate_true_utility_mean_std,proxy_minus_true_gap_mean,proxy_minus_true_gap_std
0.0,1,90002.0,1.5811388300841898,2.762563610076904,0.11744390406902742,-0.0010111462324857712,0.018551404683497443,1.9936655044555665,0.05993645652002699,-0.0010111462324857712,0.018551404683497443,-0.0010111448355019093,0.01855140915039627,2.76357479095459,0.10328139720103147
0.0,4,90002.0,1.5811388300841898,4.422155952453613,0.266040559492319,0.03185816388577223,0.024122942559918606,4.134394550323487,0.0765016764242238,1.0228177547454833,0.012525147175008808,-0.0010111448355019093,0.01855140915039627,4.390297794342041,0.2458458679563286
0.0,16,90002.0,1.5811388300841898,4.741394138336181,0.33379596262169503,0.05474223745986819,0.04271135580579123,6.712407493591309,0.0904807349649331,1.7706874132156372,0.019869682675295968,-0.0010111448355019093,0.01855140915039627,4.68665189743042,0.3385485583960594
0.0,64,90002.0,1.5811388300841898,4.750255393981933,0.3376774176529467,0.04815042777918279,0.051880286392533496,9.368399238586425,0.04523655245373821,2.3542369842529296,0.013715559822512253,-0.0010111448355019093,0.01855140915039627,4.70210485458374,0.33197021414677347
0.0,256,90002.0,1.5811388300841898,4.750353527069092,0.33772095862237156,0.04226026302203536,0.038666913222917584,11.596812629699707,0.2888277015328985,2.84297137260437,0.010936173937820756,-0.0010111448355019093,0.01855140915039627,4.70809326171875,0.33910523301679446
1e-05,1,90002.0,1.5811388300841898,2.762563610076904,0.11744390406902742,-0.0010111462324857712,0.018551404683497443,1.9936655044555665,0.05993645652002699,-0.0010111462324857712,0.018551404683497443,-0.0010111448355019093,0.01855140915039627,2.76357479095459,0.10328139720103147
1e-05,4,90002.0,1.5811388300841898,4.422155952453613,0.266040559492319,0.03185816388577223,0.024122942559918606,4.134394550323487,0.0765016764242238,1.0228177547454833,0.012525147175008808,-0.0010111448355019093,0.01855140915039627,4.390297794342041,0.2458458679563286
1e-05,16,90002.0,1.5811388300841898,4.741394138336181,0.33379596262169503,0.05474223745986819,0.04271135580579123,6.712407493591309,0.0904807349649331,1.7706874132156372,0.019869682675295968,-0.0010111448355019093,0.01855140915039627,4.68665189743042,0.3385485583960594
1e-05,64,90002.0,1.5811388300841898,4.750255393981933,0.3376774176529467,0.04815042777918279,0.051880286392533496,9.368399238586425,0.04523655245373821,2.3542369842529296,0.013715559822512253,-0.0010111448355019093,0.01855140915039627,4.70210485458374,0.33197021414677347
1e-05,256,90002.0,1.5811388300841898,4.750353527069092,0.33772095862237156,0.04226026302203536,0.038666913222917584,11.596812629699707,0.2888277015328985,2.84297137260437,0.010936173937820756,-0.0010111448355019093,0.01855140915039627,4.70809326171875,0.33910523301679446
0.0001,1,90002.0,1.5811388300841898,2.763843297958374,0.11990122145742166,-0.0010111462324857712,0.018551404683497443,1.9936655044555665,0.05993645652002699,-0.0010111462324857712,0.018551404683497443,-0.0010111448355019093,0.01855140915039627,2.7648544788360594,0.10582919744098622
0.0001,4,90002.0,1.5811388300841898,4.422242736816406,0.26688070571674427,0.03279496170580387,0.02270150428667306,4.13386812210083,0.0762422139181559,1.0228177547454833,0.012525147175008808,-0.0010111448355019093,0.01855140915039627,4.389447784423828,0.24810883305039155
0.0001,16,90002.0,1.5811388300841898,4.741024398803711,0.33373197839008895,0.05436871331185102,0.041320191343123126,6.712163257598877,0.08988562144496776,1.7706874132156372,0.019869682675295968,-0.0010111448355019093,0.01855140915039627,4.686655807495117,0.33871194477626027
0.0001,64,90002.0,1.5811388300841898,4.749856948852539,0.3376467575665485,0.045965250208973886,0.051839742744481394,9.355388832092284,0.06357250223165442,2.3542369842529296,0.013715559822512253,-0.0010111448355019093,0.01855140915039627,4.703891658782959,0.3308280422427897
0.0001,256,90002.0,1.5811388300841898,4.749954128265381,0.33769322111470185,0.03081238167360425,0.04804065355663871,11.543250465393067,0.44340818885872946,2.84297137260437,0.010936173937820756,-0.0010111448355019093,0.01855140915039627,4.7191417694091795,0.34010431968145227
0.001,1,90002.0,1.5811388300841898,2.7623560428619385,0.11547409086556396,-0.0010111462324857712,0.018551404683497443,1.9936655044555665,0.05993645652002699,-0.0010111462324857712,0.018551404683497443,-0.0010111448355019093,0.01855140915039627,2.763367223739624,0.10109100890158067
0.001,4,90002.0,1.5811388300841898,4.419953727722168,0.26570046988628737,0.031921522319316865,0.02398172394319022,4.134290790557861,0.07584481954176873,1.0228177547454833,0.012525147175008808,-0.0010111448355019093,0.01855140915039627,4.388032245635986,0.24534097737856791
0.001,16,90002.0,1.5811388300841898,4.737893962860108,0.3338932207916724,0.05357857616618276,0.04250872913075429,6.712493991851806,0.08607787427631163,1.7706874132156372,0.019869682675295968,-0.0010111448355019093,0.01855140915039627,4.684315299987793,0.3379915741134404
0.001,64,90002.0,1.5811388300841898,4.746639633178711,0.3378687624712464,0.04610268388842087,0.05005386419249143,9.339189910888672,0.08545537729666723,2.3542369842529296,0.013715559822512253,-0.0010111448355019093,0.01855140915039627,4.700536918640137,0.334662681925385
0.001,256,90002.0,1.5811388300841898,4.7467344284057615,0.33791540974384127,0.033338036946952344,0.04239315878274805,11.42882022857666,0.5233929630896976,2.84297137260437,0.010936173937820756,-0.0010111448355019093,0.01855140915039627,4.713396263122559,0.33413597535832634
0.01,1,90002.0,1.5811388300841898,2.7492465019226073,0.1147421371094878,-0.0010111462324857712,0.018551404683497443,1.9936655044555665,0.05993645652002699,-0.0010111462324857712,0.018551404683497443,-0.0010111448355019093,0.01855140915039627,2.750257682800293,0.10010844520263165
0.01,4,90002.0,1.5811388300841898,4.39058256149292,0.26340571295308507,0.03413151744753122,0.02377630891011359,4.133315467834473,0.07658140885807715,1.0228177547454833,0.012525147175008808,-0.0010111448355019093,0.01855140915039627,4.356450939178467,0.24239222611121392
0.01,16,90002.0,1.5811388300841898,4.702678394317627,0.33179808719603127,0.053965910850092766,0.04029319139963885,6.712853717803955,0.08587298988950744,1.7706874132156372,0.019869682675295968,-0.0010111448355019093,0.01855140915039627,4.648712539672852,0.33741515205927364
0.01,64,90002.0,1.5811388300841898,4.711261940002442,0.3358582955680355,0.04802829883992672,0.0518771412841878,9.356780433654786,0.07322654252050813,2.3542369842529296,0.013715559822512253,-0.0010111448355019093,0.01855140915039627,4.663233661651612,0.33184091062988263
0.01,256,90002.0,1.5811388300841898,4.711358451843262,0.33590932630214976,0.036510659568011763,0.05032974774031593,11.568595695495606,0.502387706062304,2.84297137260437,0.010936173937820756,-0.0010111448355019093,0.01855140915039627,4.674847793579102,0.33867728002890174
0.1,1,90002.0,1.5811388300841898,2.6064353466033934,0.10715145019125748,-0.0010111462324857712,0.018551404683497443,1.9936655044555665,0.05993645652002699,-0.0010111462324857712,0.018551404683497443,-0.0010111448355019093,0.01855140915039627,2.607446527481079,0.09174636975125855
0.1,4,90002.0,1.5811388300841898,4.114902019500732,0.25089275184050513,0.03638960160315037,0.020974594934548126,4.134809684753418,0.07297172395024928,1.0228177547454833,0.012525147175008808,-0.0010111448355019093,0.01855140915039627,4.07851243019104,0.23185216691136656
0.1,16,90002.0,1.5811388300841898,4.385753726959228,0.31140605435844204,0.04762459648773074,0.0391247409507581,6.718362522125244,0.08249457948788577,1.7706874132156372,0.019869682675295968,-0.0010111448355019093,0.01855140915039627,4.338129138946533,0.31535436553570273
0.1,64,90002.0,1.5811388300841898,4.392943096160889,0.3150119681788438,0.038506057346239686,0.042744423128887044,9.350027275085449,0.08459259729147059,2.3542369842529296,0.013715559822512253,-0.0010111448355019093,0.01855140915039627,4.354437065124512,0.30949829457134215
0.1,256,90002.0,1.5811388300841898,4.393025970458984,0.3150648101290603,0.03217426397895906,0.028686373541682412,11.418565940856933,0.481506756884764,2.84297137260437,0.010936173937820756,-0.0010111448355019093,0.01855140915039627,4.360851669311524,0.3134810601862773
1.0,1,90002.0,1.5811388300841898,1.7462968349456787,0.07301418241718813,-0.0010111462324857712,0.018551404683497443,1.9936655044555665,0.05993645652002699,-0.0010111462324857712,0.018551404683497443,-0.0010111448355019093,0.01855140915039627,1.7473079681396484,0.05713103994458679
1.0,4,90002.0,1.5811388300841898,2.5309691429138184,0.15452562735307665,0.024967776786070317,0.02258256862657145,4.144194507598877,0.07262049650943654,1.0228177547454833,0.012525147175008808,-0.0010111448355019093,0.01855140915039627,2.506001424789429,0.13242038428009326
1.0,16,90002.0,1.5811388300841898,2.6186734199523927,0.1734255501305936,0.023528763093054295,0.027028959125597714,6.729007720947266,0.08404417564969001,1.7706874132156372,0.019869682675295968,-0.0010111448355019093,0.01855140915039627,2.5951446533203124,0.18640021630852527
1.0,64,90002.0,1.5811388300841898,2.6201541900634764,0.17417398371236523,0.009747819742187858,0.02784783755376779,9.2865629196167,0.09736836976343864,2.3542369842529296,0.013715559822512253,-0.0010111448355019093,0.01855140915039627,2.6104063987731934,0.17385119911916294
1.0,256,90002.0,1.5811388300841898,2.6201658248901367,0.1741830128921818,0.003978896979242563,0.011657917767865471,10.902421951293945,0.4504336113645031,2.84297137260437,0.010936173937820756,-0.0010111448355019093,0.01855140915039627,2.6161869049072264,0.17288543768562054
