seed,weight_decay,train_loss_final,iid_accuracy,iid_mean_margin,ood_accuracy,ood_mean_margin,reverse_accuracy,reverse_mean_margin,conflict_accuracy,conflict_mean_margin,spurious_sensitivity,true_sensitivity,abs_spurious_over_true_sensitivity,reward_true_corr,reward_spur_corr,probe_abs_cos_true_spur,probe_r2_true,probe_r2_spur,bottleneck_l2_mean
0,0.0,0.26559603031800716,0.8744999766349792,2.8301618099212646,0.6036999821662903,0.8380972743034363,0.24950000643730164,-1.2887697219848633,0.08529999852180481,-3.30614972114563,8.086894989013672,3.1516408920288086,2.565931558609009,0.31600305438041687,0.8919764161109924,0.39341530203819275,0.18318390846252441,0.8197343945503235,1.5161725282669067
0,1e-05,0.26559603031800716,0.8744999766349792,2.8301618099212646,0.6036999821662903,0.8380972743034363,0.24950000643730164,-1.2887697219848633,0.08529999852180481,-3.30614972114563,8.086894989013672,3.1516408920288086,2.565931558609009,0.31600305438041687,0.8919764161109924,0.39341530203819275,0.18318390846252441,0.8197343945503235,1.5161725282669067
0,0.0001,0.2656936035776625,0.8730999827384949,2.8265345096588135,0.6040999889373779,0.838089644908905,0.2500999867916107,-1.2822257280349731,0.08550000190734863,-3.299281358718872,8.071200370788574,3.1345129013061523,2.5749456882476807,0.31641146540641785,0.891873836517334,0.431423157453537,0.19133758544921875,0.8214738368988037,1.5158920288085938
0,0.001,0.2656437041504042,0.8744000196456909,2.8289504051208496,0.6040999889373779,0.8369388580322266,0.24860000610351562,-1.289487361907959,0.0851999968290329,-3.30975079536438,8.092811584472656,3.1370129585266113,2.579782724380493,0.3151285648345947,0.8923128843307495,0.4033859670162201,0.1841002106666565,0.819926381111145,1.5160291194915771
0,0.01,0.26589752840144293,0.8747000098228455,2.8193347454071045,0.6043000221252441,0.8365446329116821,0.25130000710487366,-1.2808641195297241,0.08489999920129776,-3.283829689025879,8.03646469116211,3.126746892929077,2.5702319145202637,0.31624770164489746,0.8916060328483582,0.40969163179397583,0.1901988387107849,0.8213350772857666,1.5086979866027832
0,0.1,0.2687389946409634,0.8755999803543091,2.699404001235962,0.603600025177002,0.8082054257392883,0.24729999899864197,-1.267236351966858,0.08449999988079071,-3.1440370082855225,7.631897449493408,3.0817880630493164,2.4764511585235596,0.31589275598526,0.8920336365699768,0.5377830862998962,0.18164759874343872,0.8193894624710083,1.4499595165252686
0,1.0,0.30526171685481557,0.8762999773025513,1.8612712621688843,0.6035000085830688,0.579322099685669,0.24369999766349792,-1.026741862297058,0.07240000367164612,-2.1432712078094482,4.983500003814697,2.588334083557129,1.9253697395324707,0.3079475164413452,0.8853054642677307,0.9243775010108948,0.11094540357589722,0.8001788258552551,1.0199806690216064
1,0.0,0.27154658795619496,0.8733999729156494,2.733391523361206,0.6080999970436096,0.8358548879623413,0.2581000030040741,-1.2900898456573486,0.08009999990463257,-3.233391284942627,7.874357223510742,3.3164703845977783,2.3743185997009277,0.3255855143070221,0.8877114057540894,0.11574634164571762,0.13129490613937378,0.7971369624137878,1.4859528541564941
1,1e-05,0.27154658795619496,0.8733999729156494,2.733391523361206,0.6080999970436096,0.8358548879623413,0.2581000030040741,-1.2900898456573486,0.08009999990463257,-3.233391284942627,7.874357223510742,3.3164703845977783,2.3743185997009277,0.3255855143070221,0.8877114057540894,0.11574634164571762,0.13129490613937378,0.7971369624137878,1.4859528541564941
1,0.0001,0.2714992148839698,0.8727999925613403,2.733318328857422,0.6083999872207642,0.8361796736717224,0.25769999623298645,-1.2871462106704712,0.0794999971985817,-3.2305641174316406,7.873137950897217,3.3146402835845947,2.3752615451812744,0.3259972333908081,0.8874332904815674,0.1194174587726593,0.13122493028640747,0.7965766191482544,1.4853993654251099
1,0.001,0.27150447240897585,0.8733000159263611,2.7322194576263428,0.6083999872207642,0.8363008499145508,0.2574000060558319,-1.2866883277893066,0.08030000329017639,-3.2300350666046143,7.869902610778809,3.309201955795288,2.378187417984009,0.3259740471839905,0.8873051404953003,0.1275048404932022,0.13126647472381592,0.796852707862854,1.4871317148208618
1,0.01,0.2716809328721494,0.8738999962806702,2.7216498851776123,0.6083999872207642,0.8321608304977417,0.2572000026702881,-1.2877469062805176,0.07930000126361847,-3.214592695236206,7.825239181518555,3.3155677318573,2.3601505756378174,0.32535409927368164,0.8875025510787964,0.14363305270671844,0.13149535655975342,0.7973077893257141,1.4787570238113403
1,0.1,0.2750350072675822,0.8726000189781189,2.595611095428467,0.608299970626831,0.8022046685218811,0.2547999918460846,-1.2454121112823486,0.08070000261068344,-3.0328197479248047,7.343502998352051,3.240518808364868,2.26615047454834,0.32688477635383606,0.88682621717453,0.40161553025245667,0.13973408937454224,0.801392674446106,1.4195486307144165
1,1.0,0.31223285623959135,0.8758000135421753,1.7890582084655762,0.6097000241279602,0.5765582323074341,0.2498999983072281,-0.9671590924263,0.07670000195503235,-2.0164716243743896,4.737532615661621,2.6226601600646973,1.8063844442367554,0.3231189250946045,0.8758711218833923,0.454648494720459,0.12178266048431396,0.7765887379646301,1.0413637161254883
2,0.0,0.27444042721573186,0.8675000071525574,2.7234978675842285,0.6098999977111816,0.8126775026321411,0.2549999952316284,-1.289245367050171,0.07850000262260437,-3.1380794048309326,7.6461381912231445,3.396937847137451,2.2508914470672607,0.33306777477264404,0.8845402598381042,0.8574365377426147,0.10995364189147949,0.7807955741882324,1.4566766023635864
2,1e-05,0.27444042721573186,0.8675000071525574,2.7234978675842285,0.6098999977111816,0.8126775026321411,0.2549999952316284,-1.289245367050171,0.07850000262260437,-3.1380794048309326,7.6461381912231445,3.396937847137451,2.2508914470672607,0.33306777477264404,0.8845402598381042,0.8574365377426147,0.10995364189147949,0.7807955741882324,1.4566766023635864
2,0.0001,0.27438803458092165,0.8683000206947327,2.7257184982299805,0.6090999841690063,0.8166826367378235,0.2538999915122986,-1.287368655204773,0.0786999985575676,-3.1373696327209473,7.643333911895752,3.4038431644439697,2.2455012798309326,0.3338417112827301,0.884091854095459,0.9219974875450134,0.11012148857116699,0.7798316478729248,1.4549646377563477
2,0.001,0.274591899039794,0.8677999973297119,2.7198264598846436,0.6114000082015991,0.8125942945480347,0.2533999979496002,-1.2857106924057007,0.07890000194311142,-3.13236141204834,7.6339850425720215,3.383561134338379,2.2561984062194824,0.33386164903640747,0.8843840956687927,0.8599645495414734,0.11014318466186523,0.7808701992034912,1.4544970989227295
2,0.01,0.274951626907806,0.8690000176429749,2.705655574798584,0.6103000044822693,0.8098762631416321,0.2542000114917755,-1.278597116470337,0.07760000228881836,-3.111647605895996,7.584733009338379,3.3876254558563232,2.23895263671875,0.3339489698410034,0.8842307329177856,0.9239951968193054,0.110329270362854,0.7802245020866394,1.4504801034927368
2,0.1,0.27805741572258424,0.868399977684021,2.5781354904174805,0.6079999804496765,0.7769268155097961,0.25290000438690186,-1.2539427280426025,0.07609999924898148,-2.9791786670684814,7.221796035766602,3.289518117904663,2.1953964233398438,0.3321448266506195,0.8852430582046509,0.844574511051178,0.11057436466217041,0.7825882434844971,1.4171603918075562
2,1.0,0.31656274138664714,0.8690999746322632,1.7556345462799072,0.6055999994277954,0.5489740967750549,0.24609999358654022,-1.000519037246704,0.07190000265836716,-2.009209394454956,4.677259922027588,2.6190075874328613,1.7858902215957642,0.32284218072891235,0.8747273683547974,0.848799467086792,0.12288445234298706,0.7832714915275574,1.080934762954712
3,0.0,0.27536993124047104,0.8776000142097473,2.7274510860443115,0.614300012588501,0.864766001701355,0.2547000050544739,-1.23195481300354,0.0835999995470047,-3.0913219451904297,7.6492919921875,3.4002575874328613,2.2496213912963867,0.342584490776062,0.8832557201385498,0.21867318451404572,0.14869272708892822,0.7896302938461304,1.4496790170669556
3,1e-05,0.27536993124047104,0.8776000142097473,2.7274510860443115,0.614300012588501,0.864766001701355,0.2547000050544739,-1.23195481300354,0.0835999995470047,-3.0913219451904297,7.6492919921875,3.4002575874328613,2.2496213912963867,0.342584490776062,0.8832557201385498,0.21867318451404572,0.14869272708892822,0.7896302938461304,1.4496790170669556
3,0.0001,0.2753245982588554,0.8769000172615051,2.7271041870117188,0.6136999726295471,0.8644720911979675,0.25519999861717224,-1.2292101383209229,0.08399999886751175,-3.086967945098877,7.641627788543701,3.3963592052459717,2.2499468326568604,0.3428090810775757,0.8831272125244141,0.22446201741695404,0.14785313606262207,0.7895448803901672,1.454048752784729
3,0.001,0.27536072764469655,0.8766999840736389,2.728337526321411,0.6134999990463257,0.8641383051872253,0.25589999556541443,-1.2328376770019531,0.08420000225305557,-3.091590404510498,7.654749393463135,3.397510290145874,2.253046751022339,0.34268704056739807,0.8835247159004211,0.16233019530773163,0.15234428644180298,0.7914751768112183,1.45572829246521
3,0.01,0.27563807854847033,0.8772000074386597,2.7183642387390137,0.6136000156402588,0.8607242107391357,0.2554999887943268,-1.2318040132522583,0.08349999785423279,-3.079160213470459,7.615227699279785,3.395554780960083,2.2427051067352295,0.34203481674194336,0.8837236166000366,0.19681808352470398,0.14957726001739502,0.7907073497772217,1.4518433809280396
3,0.1,0.2787335461803845,0.8772000074386597,2.590928792953491,0.6147000193595886,0.828959584236145,0.25529998540878296,-1.199995994567871,0.08110000193119049,-2.9397799968719482,7.211861610412598,3.3242948055267334,2.169440984725952,0.3414499759674072,0.8844442367553711,0.06610457599163055,0.1481081247329712,0.7910652160644531,1.4213619232177734
3,1.0,0.31709291375413234,0.8797000050544739,1.7892065048217773,0.6115000247955322,0.5955665111541748,0.24940000474452972,-0.9519788026809692,0.07569999992847443,-2.0014538764953613,4.711105823516846,2.6294331550598145,1.791681170463562,0.33422672748565674,0.877044141292572,0.9323379993438721,0.15029001235961914,0.7961121201515198,1.059984564781189
4,0.0,0.2682590337128055,0.8736000061035156,2.9607956409454346,0.6126999855041504,0.9164125919342041,0.25769999623298645,-1.269912838935852,0.08089999854564667,-3.3781652450561523,8.329818725585938,3.473395347595215,2.3981776237487793,0.3484089970588684,0.8866071701049805,0.4827371835708618,0.13425076007843018,0.7905266880989075,1.4371215105056763
4,1e-05,0.2682590337128055,0.8736000061035156,2.9607956409454346,0.6126999855041504,0.9164125919342041,0.25769999623298645,-1.269912838935852,0.08089999854564667,-3.3781652450561523,8.329818725585938,3.473395347595215,2.3981776237487793,0.3484089970588684,0.8866071701049805,0.4827371835708618,0.13425076007843018,0.7905266880989075,1.4371215105056763
